gate,cell_id,N,noise,seed,method,family,v_policy,v_behaviour_expected,v_optimal_same_start,nv,selected_unseen_rate,mean_behavior_prob,mean_logged_count,support_mask
gate2E_family,N100_noise0p05,100,0.05,0,Behaviour cloning,BC,448.85541736519184,425.0469525373324,482.26747238006357,0.4160826377197598,0.16625,0.7600977609586881,9.50125,none
gate2E_family,N100_noise0p05,100,0.05,0,Behaviour cloning support top3,BC,444.578664717201,425.0469525373324,482.26747238006357,0.3413410474695247,0.0,0.8669231273220245,11.2925,top3
gate2E_family,N100_noise0p05,100,0.05,0,Estimate-then-optimise structured,EtO,179.10206029014728,425.0469525373324,482.26747238006357,-4.298193950756775,0.89125,0.10266064257028112,0.49875,none
gate2E_family,N100_noise0p05,100,0.05,0,Estimate-then-optimise structured support top3,EtO,479.33501654727377,425.0469525373324,482.26747238006357,0.9487516743844767,0.0,0.8015810855810855,8.16375,top3
gate2E_family,N100_noise0p05,100,0.05,0,Estimate-then-optimise structured learned-transition,EtO,162.33486507963156,425.0469525373324,482.26747238006357,-4.591221613850362,0.93125,0.11038961038961038,0.2175,none
gate2E_family,N100_noise0p05,100,0.05,0,Estimate-then-optimise structured learned-transition support top3,EtO,457.45009881749434,425.0469525373324,482.26747238006357,0.5662854229430453,0.0,0.8615019539284244,13.9775,top3
gate2E_family,N100_noise0p05,100,0.05,0,Estimate-then-optimise structured empirical-transition,EtO,235.79188857069337,425.0469525373324,482.26747238006357,-3.307468448151131,0.80875,0.18341811617984902,1.15375,none
gate2E_family,N100_noise0p05,100,0.05,0,Estimate-then-optimise structured empirical-transition support top3,EtO,466.57845892533516,425.0469525373324,482.26747238006357,0.7258149087451637,0.0,0.8400649350649352,9.35,top3
gate2E_family,N100_noise0p05,100,0.05,0,Estimate-then-optimise unconstrained,EtO,456.1743527349869,425.0469525373324,482.26747238006357,0.5439901679189071,0.88,0.09988125082464705,0.60625,none
gate2E_family,N100_noise0p05,100,0.05,0,Estimate-then-optimise unconstrained support top3,EtO,479.4680927410172,425.0469525373324,482.26747238006357,0.9510773469597902,0.0,0.7997953712953714,8.6025,top3
gate2E_family,N100_noise0p05,100,0.05,0,Estimate-then-optimise unconstrained learned-transition,EtO,418.1385313945647,425.0469525373324,482.26747238006357,-0.12073328172752121,0.8675,0.14756944444444445,0.9675,none
gate2E_family,N100_noise0p05,100,0.05,0,Estimate-then-optimise unconstrained learned-transition support top3,EtO,472.4104913066294,425.0469525373324,482.26747238006357,0.8277369534473688,0.0,0.8247636634199134,9.8225,top3
gate2E_family,N100_noise0p05,100,0.05,0,Estimate-then-optimise unconstrained empirical-transition,EtO,430.44018101063585,425.0469525373324,482.26747238006357,0.09425339874797668,0.5675,0.33962591310358564,3.83625,none
gate2E_family,N100_noise0p05,100,0.05,0,Estimate-then-optimise unconstrained empirical-transition support top3,EtO,480.53520287318594,425.0469525373324,482.26747238006357,0.9697264283575417,0.0,0.8079203712953713,8.3775,top3
gate2E_family,N100_noise0p05,100,0.05,1,Behaviour cloning,BC,442.9303592939899,421.1367484506907,477.84490227066374,0.38431176780125315,0.1875,0.7146702834202835,10.18125,none
gate2E_family,N100_noise0p05,100,0.05,1,Behaviour cloning support top3,BC,440.94977436467843,421.1367484506907,477.84490227066374,0.3493858392372748,0.0,0.8689910263347764,13.9975,top3
gate2E_family,N100_noise0p05,100,0.05,1,Estimate-then-optimise structured,EtO,175.52844515408455,421.1367484506907,477.84490227066374,-4.331093268814914,0.86,0.15320644718792867,0.6975,none
gate2E_family,N100_noise0p05,100,0.05,1,Estimate-then-optimise structured support top3,EtO,472.9308705037586,421.1367484506907,477.84490227066374,0.9133452345758724,0.0,0.7546381899350649,6.73125,top3
gate2E_family,N100_noise0p05,100,0.05,1,Estimate-then-optimise structured learned-transition,EtO,161.6722337556076,421.1367484506907,477.84490227066374,-4.575435756889296,0.92625,0.13414634146341464,0.24375,none
